SiteNumber;Chronicle;Rate;Validation Metric;Accuracy;Time;Slope;Elevation;LC;CW;Area;Coastal Vulnerability;Hydrological Vulnerability;Satured Zone Area;Vulnerability Sum;Vulnerability Rate;Number of Cells;Timetest;TimePred
1;0;1.0;0.0;100.0;34367;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;34367;32646.36
1;0;2.0;0.0038793230649175;96.1206769350825;18464;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;18464;21333.957
1;0;7.0;0.0162088957219168;83.7911042780832;8508;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;8508;9997.782
1;0;15.0;0.0259828282694254;74.0171717305746;4975;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;4975;6537.242
1;0;21.0;0.0319767968742023;68.0232031257977;4560;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;4560;5832.534
1;0;30.0;0.0425305241829691;57.4694758170309;4571;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;4571;5189.466
1;0;45.0;0.0589360085450578;41.0639914549422;3805;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;3805;4880.242
1;0;50.0;0.0641227286941075;35.877271305892506;3630;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;3630;4776.661
1;0;60.0;0.0759114644001612;24.088535599838814;3501;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;3501;4629.32
1;0;75.0;0.0850912692667235;14.908730733276505;3278;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;3278;4102.623
1;0;90.0;0.1054010146558668;-5.401014655866801;3263;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;3263;3803.526
1;0;100.0;0.1080604821071567;-8.060482107156695;2959;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;2959;3567.753
1;0;125.0;0.1334471376761859;-33.4471376761859;2864;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;2864;3352.246
1;0;150.0;0.1531843987217754;-53.18439872177538;2604;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;2604;3100.944
1;0;182.0;0.193913249256011;-93.913249256011;2077;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;2077;2360.245
1;0;200.0;0.1821149172354826;-82.1149172354826;2221;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;2221;2477.121
1;0;250.0;0.2259141665346465;-125.91416653464648;1902;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;1902;2106.753
1;0;300.0;0.2414259499518798;-141.42594995187977;1564;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;1564;1706.268
1;0;330.0;0.2314316881540319;-131.4316881540319;1448;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;1448;1578.734
1;0;365.0;0.2364798653552871;-136.47986535528707;1282;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;1282;1492.256
1;0;550.0;0.2900564304779044;-190.0564304779044;989;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;989;917.491
1;0;640.0;0.2850541505936022;-185.0541505936021;741;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;741;815.644
1;0;730.0;0.3066294603669017;-206.62946036690167;721;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;721;798.585
1;0;1000.0;0.3014701118256105;-201.4701118256105;759;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;759;806.382
1;0;1500.0;0.3406870273708929;-240.6870273708929;487;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;487;578.478
1;0;2000.0;0.3721021215926988;-272.1021215926987;428;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;428;458.945
1;0;2250.0;0.3718740962113506;-271.8740962113506;332;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;332;279.018
1;0;3000.0;0.4106378809215129;-310.6378809215129;214;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;214;211.253
1;0;3182.0;0.4190915847552413;-319.09158475524123;214;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;214;219.247
1;0;3652.0;0.4135006551951883;-313.5006551951883;214;0.017383;14.031;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126;214;184.481
3;0;1.0;0.0;100.0;29595;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;29595;32646.36
3;0;2.0;0.0037050268572391;96.2949731427609;17685;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;17685;21333.957
3;0;7.0;0.015395923499432;84.604076500568;8354;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;8354;9997.782
3;0;15.0;0.0247068749615544;75.29312503844561;4776;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;4776;6537.242
3;0;21.0;0.0298742911367728;70.1257088632272;4186;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;4186;5832.534
3;0;30.0;0.0404493979934081;59.5506020065919;4271;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;4271;5189.466
3;0;45.0;0.0572461092776707;42.7538907223293;3137;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;3137;4880.242
3;0;50.0;0.0631284603041809;36.8715396958191;3052;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;3052;4776.661
3;0;60.0;0.074938125136267;25.061874863733;2960;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;2960;4629.32
3;0;75.0;0.0829605078650181;17.039492134981906;2596;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;2596;4102.623
3;0;90.0;0.1027571012342629;-2.7571012342628984;2890;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;2890;3803.526
3;0;100.0;0.1047504451817718;-4.750445181771798;2319;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;2319;3567.753
3;0;125.0;0.1290618985073051;-29.061898507305088;2182;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;2182;3352.246
3;0;150.0;0.143212282321829;-43.212282321829;1969;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;1969;3100.944
3;0;182.0;0.1874998532504132;-87.49985325041321;1535;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;1535;2360.245
3;0;200.0;0.1694793974994916;-69.47939749949158;1608;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;1608;2477.121
3;0;250.0;0.2144490685793272;-114.44906857932718;1276;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;1276;2106.753
3;0;300.0;0.2277600513216024;-127.7600513216024;1035;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;1035;1706.268
3;0;330.0;0.2165729030477833;-116.57290304778329;913;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;913;1578.734
3;0;365.0;0.2184592788548915;-118.4592788548915;1043;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;1043;1492.256
3;0;550.0;0.2559886711365289;-155.98867113652886;639;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;639;917.491
3;0;640.0;0.255595994638107;-155.595994638107;513;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;513;815.644
3;0;730.0;0.2706465721432402;-170.6465721432402;579;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;579;798.585
3;0;1000.0;0.2693321170881353;-169.3321170881353;451;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;451;806.382
3;0;1500.0;0.2990277063965513;-199.02770639655128;302;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;302;578.478
3;0;2000.0;0.3139670065449404;-213.9670065449404;251;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;251;458.945
3;0;2250.0;0.3223943844580074;-222.39438445800727;175;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;175;279.018
3;0;3000.0;0.3507373352100968;-250.7373352100968;123;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;123;211.253
3;0;3182.0;0.3469880273256615;-246.98802732566145;133;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;133;219.247
3;0;3652.0;0.3404824929883649;-240.48249298836487;152;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.2512852959094626;34800;152;184.481
17;0;1.0;0.0;100.0;16901;0.0094464;30.539;1575.0;2.4613;61779000.0;185;1537;1528;1534.9696842304736;0.089580956185029;17135;16901;13577.345714285715
17;0;2.0;0.0036195277470909;96.3804722529091;9615;0.0094464;30.539;1575.0;2.4613;61779000.0;185;1537;1528;1534.9696842304736;0.089580956185029;17135;9615;8044.4526
17;0;7.0;0.0154406150457085;84.5593849542915;4092;0.0094464;30.539;1575.0;2.4613;61779000.0;185;1537;1528;1534.9696842304736;0.089580956185029;17135;4092;3577.7383761904757
17;0;15.0;0.0249713462213946;75.0286537786054;2349;0.0094464;30.539;1575.0;2.4613;61779000.0;185;1537;1528;1534.9696842304736;0.089580956185029;17135;2349;2165.7448
17;0;21.0;0.0305220198069751;69.4779801930249;2112;0.0094464;30.539;1575.0;2.4613;61779000.0;185;1537;1528;1534.9696842304736;0.089580956185029;17135;2112;1917.9938666666665
